Name,Preis,Links,Event
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",276 CHF,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3gU1LsQcAN85vTB&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742326351_P3iSSWqzexm8bbHi&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Altbau-Oase/ Zentral & Gemütlich,,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3_kXj7q8aDZr1E7&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742326351_P3P4MIk4onWv53F3&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Zentrale Stadtwohnung mit Terasse,,https://www.airbnb.ch/rooms/42128949?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3BhstyNryNiKwvJ&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742326351_P3anNIqHGSbOEKeZ&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3L9e9UTYCvHSOAn&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3nZPGkj9WTiunef&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
St.-Gallen Ost 1 IN OLMA IN Zentral I Culture,317 CHF,https://www.airbnb.ch/rooms/1312926767571539260?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3fCT-u5y4EPvLti&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Schöne Wohnung im Herzen von Herisau bis 6 Gäste,300 CHF,https://www.airbnb.ch/rooms/52105121?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P35k8OWM4fLwYYgK&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
"Schönes Einzelzimmer, zentral",30 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742326351_P31fmwyKTXajZQu6&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
"Queensize-Bett, Arbeitsplatz, gratis Parkplatz",274 CHF,https://www.airbnb.ch/rooms/1309616210634972262?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326352_P3Uf0YQZp-Uz93qG&previous_page_section_name=1000&federated_search_id=ad5738a3-58a4-4119-9ee4-c5c784a5f02e,Open Air
Anitas Landerlebnis,175 CHF,https://www.airbnb.ch/rooms/1126809791445447349?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328084_P37bbliDK6Oik7zT&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Zimmer mit traumhaftem Ausblick,,https://www.airbnb.ch/rooms/1105183214922616099?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328057_P3cUvlb15CHgmUJQ&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
hübsche 2 1/2 Zimmer Dachwohnung,70 CHF,https://www.airbnb.ch/rooms/49188864?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328061_P3-GReZTBoUTjsWg&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Komfortables Zimmer/Bad & Frühstück,67 CHF,https://www.airbnb.ch/rooms/9086918?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=91496642&source_impression_id=p3_1742328063_P3xFGBtB8PpnT6Rj&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Modernes und komfortables App 5 Min. vom HB St. G,237 CHF,https://www.airbnb.ch/rooms/1205774662880420500?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328063_P35eoJy0xw6AKHtd&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Zimmer mit separater Dusche,38 CHF,https://www.airbnb.ch/rooms/32656994?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=997136320&source_impression_id=p3_1742328063_P3IpiutTHJ0Cpixz&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
St. Gallen Zimmer Nähe OLMA/Uni/Zentrum Jugendstil,70 CHF,https://www.airbnb.ch/rooms/697517?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1349005821&source_impression_id=p3_1742328063_P3Q4PW-HBfQi-xN6&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742328063_P3sffbxdPXh8brut&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742326351_P3_kXj7q8aDZr1E7&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
"Birkenhof, Haus Märli",500 CHF,https://www.airbnb.ch/rooms/1254262698928353569?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328063_P3xW5h9snAPcKm7T&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328063_P3VCfy9LIk2LgOeu&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Moderne Wohnung nahe OLMA Messe,,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328064_P3_fzr2mzwv29Zy0&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
"Ruhig, City-und Naturnah, inkl. Parkplatz & Balkon",276 CHF,https://www.airbnb.ch/rooms/1280932025399837362?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328064_P3gtoj4fLg1lmyzf&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
winzige Wohnung,95 CHF,https://www.airbnb.ch/rooms/54369584?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328064_P3Y8olDuhtfiR3xE&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Schöne 2 1/2 Zimmer Dachwohnung,81 CHF,https://www.airbnb.ch/rooms/964210138285327314?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742328064_P3YpYSTtHoxTm3yJ&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",44 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742328064_P3oTb9h3zSRRer_G&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Nah an der Natur und ÖV vor der Tür (mit Ticket),65 CHF,https://www.airbnb.ch/rooms/7655133?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1421192468&source_impression_id=p3_1742328064_P3F69akDwP-jEUym&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Im Grünen nahe des Zentrum (Familienzimmer 2+2),60 CHF,https://www.airbnb.ch/rooms/18440897?adults=1&check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=300964172&source_impression_id=p3_1742328064_P3TEPy9mEBnWb2eP&previous_page_section_name=1000&federated_search_id=1f1690d3-9185-444a-9a90-3e84b84918fc,Open Air
Gemütliche Wohnung im Zentrum von St. Gallen,85 CHF,https://www.airbnb.ch/rooms/1272414733514963281?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330721_P31ywaAFSH5FBFCg&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Möbliertes Studio mit Garten W5,50 CHF,https://www.airbnb.ch/rooms/1369357827038202553?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330735_P34VrGkbEjI7g6ZA&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Zur Geduld (direkt am Bahnhof),75 CHF,https://www.airbnb.ch/rooms/39076896?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330735_P31r8s6LM6NXc3g4&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Poliba St.Gallen-3 1/2 zimmer wohnung,40 CHF,https://www.airbnb.ch/rooms/26252048?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330735_P3mdSDn80UqdeTLM&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Gemütliche Wohnung,67 CHF,https://www.airbnb.ch/rooms/1258654575298959105?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330735_P3F90n6x16QF2M_k&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Schönes Zimmer in der Nähe von HSG,62 CHF,https://www.airbnb.ch/rooms/1188930325214083127?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1940734657&source_impression_id=p3_1742330735_P3yhflougJtFF6hf&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Gemütliche Altbauwohnung im Zentrum,87 CHF,https://www.airbnb.ch/rooms/751359808295391180?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330737_P35DIkCX4mpp5Lor&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Charmante Ferienwohnung 2 Zimmer W43,140 CHF,https://www.airbnb.ch/rooms/1345627790337068856?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330738_P3b9K87N-YhzZBbk&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Eigene Studiowohnung mit Küche,60 CHF,https://www.airbnb.ch/rooms/1244108781114001566?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1992369537&source_impression_id=p3_1742330739_P3Rrip-c_xas6mD3&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Einzigartige schöne Altbau- Wohnung im Zentrum,111 CHF,https://www.airbnb.ch/rooms/851924212614923026?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330739_P3e03fc_fAwI8bsX&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
"Schönes Einzelzimmer, zentral",33 CHF,https://www.airbnb.ch/rooms/1249206762119913900?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2077775382&source_impression_id=p3_1742330739_P39Z2-YiO5p9PkHU&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Studio mit Panoramaaussicht,55 CHF,https://www.airbnb.ch/rooms/810193274543553942?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330739_P3XmZFiGzeL6ELzT&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Olma / Stadtzentrum / Cosy,160 CHF,https://www.airbnb.ch/rooms/1358676222184654106?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330740_P3AB_L0yYLJI_9IM&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Zeit,58 CHF,https://www.airbnb.ch/rooms/951322252626366335?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330740_P3SBL4-let3_tyQR&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Helle Wohnung über St.Gallen,95 CHF,https://www.airbnb.ch/rooms/1041922452595008344?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330740_P3dyOi-bMQHvtyEF&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Studio mit Charme und Aussicht,55 CHF,https://www.airbnb.ch/rooms/794847112063101272?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742330740_P3ugPTZmD32LaIln&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Das Haus mit dem Schwein,52 CHF,https://www.airbnb.ch/rooms/1050155248804139421?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1807180061&source_impression_id=p3_1742330740_P3QN32p6RrMC6Flq&previous_page_section_name=1000&federated_search_id=56518fe4-b7f1-4303-aa51-aea8f11d5480,OLMA
Zeit,58 CHF,https://www.airbnb.ch/rooms/951322252626366335?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332339_P3MgKleG8oBhJ6MX&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Dein Zuhause in Herisau,84 CHF,https://www.airbnb.ch/rooms/976660285467973872?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332296_P3zqwe8GbnJuFoOh&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
heimelige Wohnung in Goldach,56 CHF,https://www.airbnb.ch/rooms/1152917005837922136?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332300_P3o4ZNAv3uSvLqt-&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
"gemütliches Studio im EG, im Appenzellerland",,https://www.airbnb.ch/rooms/49508201?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332300_P3khX_NsRLlWmP7a&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Bijoux Ferienwohnung auf Bauernhof im Wald,87 CHF,https://www.airbnb.ch/rooms/52139216?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332300_P3l3hum1uqfMrae9&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Säntis Park/Freies Parken/Netflix,72 CHF,https://www.airbnb.ch/rooms/1256489640417225660?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332300_P32hd09L8VpEkne-&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Studio mit Panoramaaussicht,55 CHF,https://www.airbnb.ch/rooms/810193274543553942?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3RKhMboJMo7zW8o&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Luxuriöses Hotelzimmer im Grünen,69 CHF,https://www.airbnb.ch/rooms/37453341?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3i2_-AV8r2jwf7T&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Studio mit Charme und Aussicht,55 CHF,https://www.airbnb.ch/rooms/794847112063101272?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3a_ft4F_XTaQwgw&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Ganze Wohnung mitten in der Altstadt von Arbon,52 CHF,https://www.airbnb.ch/rooms/16345691?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3aLwraBIdwdJmk1&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
2. Charmante Wohnung in Seenähe,58 CHF,https://www.airbnb.ch/rooms/34823328?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3yr0pM7qGNSAkIx&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Charmante Wohnung im Zentrum von Goldach,58 CHF,https://www.airbnb.ch/rooms/19566593?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332301_P3x8ZRrQ6R8ZHdO1&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Das Haus mit dem Schwein,52 CHF,https://www.airbnb.ch/rooms/1050155248804139421?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1807180061&source_impression_id=p3_1742332301_P3Eg5xmaKApya69s&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Kernsanierte Wohnung nähe Bahnhof und Zentrum,110 CHF,https://www.airbnb.ch/rooms/32585689?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332302_P36oH06gbdxdmJDU&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Altbau-Oase/ Zentral & Gemütlich,145 CHF,https://www.airbnb.ch/rooms/1378779785675848684?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332303_P3KcXOY12eEPySe4&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Gemütliche Wohnung über einer Bäckerei,60 CHF,https://www.airbnb.ch/rooms/47754092?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742332310_P3iUHIIwskYVgPsu&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
gemütliches Zimmer mit Privatsphäre,39 CHF,https://www.airbnb.ch/rooms/33425237?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1682983843&source_impression_id=p3_1742332314_P3y9vFBwkyManT80&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",51 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742332316_P3JQT5GiuLbA_CFd&previous_page_section_name=1000&federated_search_id=ea332bea-ca68-48a9-87a8-019b18687c64,OLMA
Kernsanierte Wohnung nähe Bahnhof und Zentrum,110 CHF,https://www.airbnb.ch/rooms/32585689?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333551_P3kSJWm1VJZM5BtL&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Bauernhaus mit Bildhauer Ambiente,65 CHF,https://www.airbnb.ch/rooms/2996287?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333527_P3K0Z_1Gr1J3fttf&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Gartenstudio in Appenzellerhaus,55 CHF,https://www.airbnb.ch/rooms/3581317?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3t-zL_pcf1aQrMI&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Idyllische Wohnung in der Natur,121 CHF,https://www.airbnb.ch/rooms/1329870865542695857?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3uktCEj6uTFdMJm&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
2.5 Zimmer Dachwohnung mit Gartensitzplatz,98 CHF,https://www.airbnb.ch/rooms/563644420162089550?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3jBI-oK5lZ9eb8o&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Schöne Wohnung im Herzen von Herisau bis 4 Gäste,124 CHF,https://www.airbnb.ch/rooms/52104598?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3L0aYIMpeUEmzXu&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Schöne Wohnung im Herzen von Herisau bis 6 Gäste,154 CHF,https://www.airbnb.ch/rooms/52105121?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3y-yXFlfcp3bxqi&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Grosszügige Garten-Wohnung,149 CHF,https://www.airbnb.ch/rooms/1060397090656689268?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3T6LwASfpTqT4C2&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
"Histor. grossbürgerl. Wohnhaus, ruhige Lage",51 CHF,https://www.airbnb.ch/rooms/43076325?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1136469183&source_impression_id=p3_1742333529_P3AcJO946MY053In&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Moderne Wohnung nahe OLMA Messe,190 CHF,https://www.airbnb.ch/rooms/1378804535792044479?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3clL1_eziRJ30qo&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Atelier/Loft im Grünen Individuelles Altes Haus,99 CHF,https://www.airbnb.ch/rooms/9723028?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P31HJxIL0EBCs1s6&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Idyllisches Appenzeller Ferienhaus mit Garten,110 CHF,https://www.airbnb.ch/rooms/38684795?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333529_P3EdjVQ7OP759kDK&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Ferien auf dem Billenberghof,147 CHF,https://www.airbnb.ch/rooms/43837504?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333530_P3k_IVA4e4mzujMQ&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Einkaufszentrum Arena | Kybunpark |,94 CHF,https://www.airbnb.ch/rooms/1271657823442915813?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333530_P3ZUOStc8DJTRed7&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
spezielle Wohnung in Goldach,56 CHF,https://www.airbnb.ch/rooms/45526496?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333531_P3B6LLplq8A4PTi4&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
Haus zur Quelle,65 CHF,https://www.airbnb.ch/rooms/636608672961821195?adults=1&check_in=2025-10-10&check_out=2025-10-19&search_mode=regular_search&source_impression_id=p3_1742333532_P3zhu-dqFWFJ4rnF&previous_page_section_name=1000&federated_search_id=fdf09072-364c-426d-8160-14159c126a97,OLMA
